id,domain,portal_system,portal_subdomain,confidence,detection_method,validated,validation_website,error,timestamp,created_at,updated_at
41,pensacolarentals.com,appfolio,eraoldsouth.appfolio.com,high,homepage_fetch,1,http://www.pensacolarentals.com,,2026-02-01T20:38:50.283080,2026-02-25 06:54:01,2026-02-25 06:54:01
42,southkeymgmt.com,guesty,,high,homepage_fetch,0,,,2026-02-01T20:38:53.941744,2026-02-25 06:54:01,2026-02-25 06:54:01
43,propertymanagementhouston.com,appfolio,areatexas.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:38:55.971625,2026-02-25 06:54:01,2026-02-25 06:54:01
47,utahrentals.com,appfolio,utahrentals.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:39:09.696171,2026-02-25 06:54:01,2026-02-25 06:54:01
48,visitlandmark.com,appfolio,,high,homepage_fetch,0,,,2026-02-01T20:39:17.941857,2026-02-25 06:54:01,2026-02-25 06:54:01
49,richmondpropertymanagement.net,appfolio,kanawha.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:39:16.998217,2026-02-25 06:54:01,2026-02-25 06:54:01
50,rpmrichmondmetro.com,appfolio,rpmva011.appfolio.com,high,secondary_page:/tenants/,1,http://rpmrichmondmetro.com,,2026-02-01T20:39:17.182401,2026-02-25 06:54:01,2026-02-25 06:54:01
51,utopiamanagement.com,appfolio,utopiamanagement.appfolio.com,high,homepage_fetch,1,http://www.utopiamanagement.com/,,2026-02-01T20:39:23.884032,2026-02-25 06:54:01,2026-02-25 06:54:01
52,upliftpm.com,appfolio,upliftpm.appfolio.com,high,secondary_page:/owner-portal/,1,http://www.upliftpm.com,,2026-02-01T20:39:24.736807,2026-02-25 06:54:01,2026-02-25 06:54:01
53,rentalzebra.com,appfolio,rentalzebra.appfolio.com,high,subdomain_probe,1,http://www.rentalzebra.com,,2026-02-01T20:39:33.766104,2026-02-25 06:54:01,2026-02-25 06:54:01
55,propertymanagementcapital.com,propertyware,app.propertyware.com,high,secondary_page:/tenants/,0,,,2026-02-01T20:40:23.453122,2026-02-25 06:54:01,2026-02-25 06:54:01
56,sapirrealty.com,rentvine,sapirrealty.rentvine.com,high,homepage_fetch,0,,,2026-02-01T20:41:34.830697,2026-02-25 06:54:01,2026-02-25 06:54:01
59,renospropertymanagement.com,appfolio,dicksonrealty.appfolio.com,low,homepage_fetch,0,,,2026-02-01T20:42:39.322243,2026-02-25 06:54:01,2026-02-25 06:54:01
60,rentalsamericaphoenix.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T20:43:54.303302,2026-02-25 06:54:01,2026-02-25 06:54:01
61,propertymanagement-sacramento.com,propertyware,app.propertyware.com,high,homepage_fetch,0,,,2026-02-01T20:43:55.936953,2026-02-25 06:54:01,2026-02-25 06:54:01
63,truedoorpm.com,appfolio,,high,secondary_page:/residents/,0,,,2026-02-01T20:43:59.238009,2026-02-25 06:54:01,2026-02-25 06:54:01
64,rpmbakersfield.com,appfolio,rpmca060.appfolio.com,high,secondary_page:/tenants/,1,http://www.rpmbakersfield.com,,2026-02-01T20:43:59.564786,2026-02-25 06:54:01,2026-02-25 06:54:01
65,shannonpropertymanagement.com,appfolio,shannonpropertymanagement.appfolio.com,high,subdomain_probe,1,http://www.shannonpropertymanagement.com,,2026-02-01T20:43:19.708077,2026-02-25 06:54:01,2026-02-25 06:54:01
66,wilmothgroup.com,rentvine,wilmothgroup.rentvine.com,high,homepage_fetch,0,,,2026-02-01T20:45:08.507570,2026-02-25 06:54:01,2026-02-25 06:54:01
68,residentialleasing.net,rentmanager,rlmc.twa.rentmanager.com,high,homepage_fetch,0,,,2026-02-01T20:46:47.836973,2026-02-25 06:54:01,2026-02-25 06:54:01
